time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,soc
96,22.745777310532446,26.042229640181517,11.44956990217861,1005.2501090448925,0.33038895577476923,0.0,1.000000009961814,0.615410689020559,32.0,3.0,8.0,600.0,247.85091941778518,0.03999999999999998
97,22.759984171623557,26.04758770695173,11.62659682777064,1005.1421941272686,0.33370653022136415,0.0,1.0000000099610915,0.6155642117039455,32.0,3.0,8.0,600.0,243.02760857226198,0.03833333333333333
98,22.737777617938775,26.019691886918622,11.635340986026335,1005.209393241136,0.3398722725433795,0.0,1.0000000099612905,0.6156707685974144,32.0,3.0,8.0,600.0,245.67155953962177,0.03666666666666668
99,22.722969726625195,26.01059663206172,11.4898795003391,1005.3252914892171,0.34162225006238345,0.0,1.0000000099618624,0.6156297752721334,32.0,3.0,8.0,600.0,250.59703536329286,0.035
100,22.72770223498685,26.02839262898766,11.377732458051184,1005.3498063843979,0.3381306582088022,0.0,1.0000000099621977,0.6155240009465537,32.0,3.0,8.0,600.0,251.99776933207858,0.033333333333333326
101,22.744201935465128,26.05364225212645,11.408016518909335,1005.2792042438876,0.33216417244083707,0.0,1.0000000099620818,0.6154292177124031,32.0,3.0,8.0,600.0,249.20421385134307,0.031666666666666676
102,22.76024794834143,26.064588148454334,11.565511429173455,1005.1708290002423,0.3325584231430816,0.0,1.0000000099614597,0.6155138506632687,32.0,3.0,8.0,600.0,244.44182749296095,0.03
103,22.748427612069293,26.044728863186776,11.63387858086287,1005.1840573382609,0.33887400938607426,0.0,1.0000000099613329,0.615659238406668,32.0,3.0,8.0,600.0,244.75607597599216,0.02833333333333335
104,22.727579519103756,26.026794732115775,11.515346988798399,1005.3039423120433,0.3419844911421062,0.0,1.0000000099618984,0.6156513954426867,32.0,3.0,8.0,600.0,249.79854564016836,0.026666666666666672
105,22.728201265069515,26.0391930465251,11.38238380486888,1005.3562710193393,0.33962026816625257,0.0,1.0000000099623094,0.6155530295125425,32.0,3.0,8.0,600.0,252.2878712889368,0.024999999999999994
